data_ref,date,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Min Temperature (deg C),Maximum Temperature (deg C),Min Wind Speed (km/h),Max Wind Speed (km/h),Sunshine Duration (hrs),Cloud Cover (%),Wet Bulb Temperature (deg F),Relative Humidity (%),Air Pressure (hPa),Dew Point Category,Wind Direction,Daily Solar Panel Efficiency
7dfc60de-0b46-4322-9aac-a67a0a5d3c9c,30/10/2015,5.2,3.6,4.6,4.6,27.6,32.7,6.2,42.1,6.16,35.0,58.7,100.0,1009,high,SE,Low
4601cf67-8a00-4a50-ad3d-038a1478373b,31/10/2015,--,0.4,--,0.6,27.2,30.6,6.3,--,7.87,15.0,58.4,93.7,1007,Low,W,Medium
279410e9-7ced-4435-b5d2-f6682872d455,01/11/2015,0.2,-,0.2,0.2,--,32.2,--,26.3,8.19,16.0,58.3,87.5,1006,High,E,High
e7f1b1d8-e4c9-4d61-a46b-baaf35462c70,02/11/2015,0.2,0.2,0.2,0.2,27.8,32.9,6.6,29.5,7.94,17.0,58.599999999999994,100.0,1008,High,E,Medium
007e8535-9c8b-4704-9639-38f5c87318a7,03/11/2015,0,0,0,0,28.6,32.9,7.6,-,8.07,24.0,58.8,95.0,1007,High,SOUTHEAST,High
3143156e-5c00-4ffe-a35b-876fc9aae167,04/11/2015,0,0,-,0,28.2,-,6,22,8.59,13.0,-59.2,100.0,1005,Very High,W,Medium
2e9f82ef-95e6-4d17-a8ad-09cad14c7fd7,05/11/2015,0,0,0,0,28.4,32.3,5.2,37.8,7.07,16.0,59.0,100.0,1008,VH,SE.,Medium
64ec707f-4e1d-4714-996d-1a47179f7efa,06/11/2015,0,0,0,0,28.4,32,5.1,24.5,8.37,9.0,59.2,100.0,1007,Very High,NE,High
d1ed78a7-580d-469c-a48f-e23371b5458e,07/11/2015,1.4,-,1.4,1.4,27.9,32.9,6.2,27.4,8.03,27.0,58.4,100.0,1009,Moderate,W,High
e8904e4e-2cac-4ec3-bdf0-fe4f54fc27ee,08/11/2015,0,0,0,0,27.6,30.7,4.7,-,8.42,18.0,58.5,96.4,1001,High,SW,Medium
5db681f9-021f-4433-807c-7af454223785,09/11/2015,1.4,1.4,1.4,1.4,28,-,6.6,28.4,7.82,18.0,58.8,96.8,1007,High,SOUTHEAST,Medium
b06469df-ec71-4962-8cf2-1945607ab278,10/11/2015,0,0,0,0,28.2,32.6,6.3,27.4,8.14,19.0,58.9,100.0,1004,Very Low,E,Low
0bd0e44f-e82b-44a1-b07e-67660e8ccdd3,11/11/2015,0,0,0,0,27.5,32.2,6.3,--,7.74,23.0,58.5,100.0,1010,High Level,W,Medium
2fd67a24-c95b-4071-89ef-4aed0f569f22,12/11/2015,0,--,0,0,--,32.4,6.9,-,7.91,19.0,58.9,100.0,1004,Low,W,Medium
a7f000af-a8eb-41bd-9b65-f7538a32c746,13/11/2015,0,0,0,--,28.3,32.7,-,25.2,8.37,15.0,59.3,100.0,1003,Extreme,E,Low
87efdee6-4a02-4999-8123-51efd73ac670,14/11/2015,0,0,0,0,29,33.4,--,28.4,8.12,20.0,59.2,97.4,1005,HIGH,NE,High
9520a65e-2a9d-4c98-bcd7-794a51dde4b8,15/11/2015,0,0,0,0,27.9,30.7,-,20.9,8.6,16.0,59.099999999999994,100.0,1008,VERY HIGH,W,High
f053ce0b-f609-4323-af81-65ed6d08eeb9,16/11/2015,1.6,0.6,--,1,26.5,28.8,6.3,31,7.24,21.0,58.7,96.1,1005,High,S.,Medium
63b1507e-63aa-4c84-a351-7a1f7c8deb2d,17/11/2015,9.8,6.8,6.8,6.8,27,-,6.3,23.4,7.31,33.0,58.9,100.0,1003,VH,S,High
a99a00cd-85b5-48ee-b09e-c2ee5adb9f45,18/11/2015,0,0,0,0,28.6,32.9,9.2,31.7,7.74,20.0,58.9,100.0,1007,Low,W,Low
3c709c5d-de38-43b9-8f3a-abc9f39c8ce0,19/11/2015,0,0,0,0,28.8,32.3,6.5,33.5,7.5,17.0,59.2,100.0,1007,Very High,SOUTHEAST,Medium
01f831e4-c49a-4eae-b70d-6f0136defa27,20/11/2015,0.2,-,0.2,0.2,28.1,32.5,6.8,32.8,7.57,22.0,58.8,100.0,999,Very High,northeast,Medium
cf6a7375-6049-4098-9612-43dcbef0b343,21/11/2015,0,0,0,0,27.6,31.7,6.2,28.8,7.91,14.0,58.8,88.3,1006,High,SE,Medium
0b31cfd0-30e9-4b82-9f3c-019753f8f22a,22/11/2015,0,0,0,0,28.3,32.2,6.2,33.5,7.49,19.0,59.2,100.0,1008,Very High,NW,Low
be913a64-68f3-4ea6-96b9-30f5639703ca,23/11/2015,0,0,0,0,29.1,33.6,7,-,8.32,9.0,59.4,100.0,1004,Very High,SE,High
e304844f-ea85-488d-bc4b-9cf59a8c7e1e,24/11/2015,24,13.2,18,22.8,26.8,30.6,4.9,25.2,5.76,63.0,58.7,100.0,1004,High,NE,High
c007379d-5bcb-4205-a55f-d4378e62f346,25/11/2015,3.2,1.8,2.2,2.6,27.2,32.4,5.9,24.8,8.06,18.0,58.8,100.0,1005,VH,SW,Medium
18e8ecd7-9d96-4458-91ac-4eefd33a6d15,26/11/2015,0.8,0.4,0.6,0.6,27.1,32,7.8,27.7,7.97,20.0,58.3,99.4,1006,High,SW,Medium
17b82213-adfa-455d-9653-f915d7aac906,27/11/2015,0.4,0.4,--,0.4,27.6,31.9,7.6,25.2,8.25,15.0,58.7,100.0,1008,High,SW,High
86123918-0155-480c-94f4-2799f9b2a3f7,28/11/2015,0,0,0,0,28.5,32.6,8.2,32.4,7.64,22.0,59.4,95.5,1009,Very High,NORTH,Medium
1cb3d45b-d91f-4446-9360-95728196618f,29/11/2015,3.6,1.6,2,2,28.5,-,7.3,32,7.29,29.0,59.2,100.0,1005,Very High,SW,High
df0e0aab-8cf3-4ac7-a967-ae3287921ab1,30/11/2015,25.8,22.2,25.4,25.4,27.6,33,6,31,5.24,76.0,58.9,100.0,1001,VERY HIGH,NW.,Low
f7648c05-762a-45c8-a44c-5dd119651121,01/12/2015,--,16.6,26.2,28.6,26.9,31.8,6.8,34.9,4.43,84.0,58.9,100.0,1004,Very High,south,Low
a5f0706c-d908-4127-b8b5-a09d348d0a9e,02/12/2015,0.2,0.2,0.2,0.2,27.6,31.7,6.5,28.8,7.89,8.0,59.3,95.7,1004,High Level,NE,Medium
0d06358a-5eaa-4032-93ea-a64c11cf9f80,03/12/2015,0,0,0,0,28.7,32.9,8.3,29.5,7.96,22.0,59.2,96.8,1010,High,NORTHEAST,Medium
9b2a1fa9-4738-4ebe-bab6-ecd6a9540250,04/12/2015,0,0,0,-,28.4,31.8,--,31,7.7,13.0,59.5,100.0,1010,Low,E,Medium
2e07948d-ea46-477e-85e2-4a7462580c03,05/12/2015,6,5.8,6,6,--,32.8,7.6,34.2,6.88,28.0,59.5,100.0,1010,High,W,Low
a7abe21f-e147-4603-b5fa-2c9d36e43ba5,06/12/2015,--,3.8,4,4,27.8,--,6.8,35.6,6.9,32.0,59.5,100.0,1007,Very Low,W,Medium
779dcd9d-352e-49b9-878d-f21d6586bb13,07/12/2015,0,-,0,0,28.5,32.4,10.4,32.8,7.58,25.0,59.099999999999994,88.4,1011,High,N,Medium
f034d0bc-4678-482e-ba1b-367cb80a2a94,08/12/2015,--,15.8,15.8,17.4,28.1,31.4,6.5,32,5.4,63.0,-59.6,100.0,1006,Very High,SE,Medium
30f956f8-f238-4e0a-8b57-04ff6cdc313f,09/12/2015,2,1,1,1.6,27.8,31.1,7.2,24.5,8.08,19.0,59.3,100.0,1005,Very High,west,High
c174bfa0-f189-401c-bd88-dbbec34d4479,10/12/2015,40.4,18,26,39.2,27.4,32.7,7.2,-31.7,3.68,100.0,59.2,100.0,1007,Very High,W,Low
0ffcd91b-329e-46b5-87bf-6d28df525267,11/12/2015,11,10,10.2,10.8,27.2,30.8,4.3,--,6.94,50.0,59.4,100.0,1009,Very High,SW,Low
ca2373cf-eda7-40bb-8a92-121836409ad7,12/12/2015,37.8,13.6,-,26.8,26.8,31.8,6.5,41.8,2.84,100.0,58.8,100.0,1007,Very High,NE,Low
c1c36483-1bc1-4e7a-b1a7-96f62edafef4,13/12/2015,12.6,3,3.4,5.2,25.8,28.7,5.8,22.7,6.96,40.0,58.3,100.0,1003,High,north,Low
61586592-079a-4956-838d-6bf25d429989,14/12/2015,0.4,0.2,0.4,0.4,--,-,7.2,27.7,8.0,19.0,58.4,100.0,1008,High,W,High
0e5e838f-4646-4466-84d5-95eca7528326,15/12/2015,0,0,0,0,--,--,6.5,22.3,8.35,15.0,58.7,89.2,1006,High,S,High
5b56e84a-82a8-457c-89eb-1fa3c6365cf9,16/12/2015,0.2,0.2,0.2,0.2,28,30.6,6.8,-30.6,7.6,17.0,58.5,92.4,1008,High,NE,Medium
cd06ce35-623f-42c7-a450-e6a111ed4c57,17/12/2015,0,0,0,0,27.8,30.2,9.4,33.8,7.26,18.0,58.5,92.1,1005,High,SE,Medium
47b2b6f7-9eb9-4c90-8d14-8013cdbd85ed,18/12/2015,8.2,7.8,8.2,8.2,27.8,31.3,9.7,43.6,5.57,38.0,58.3,100.0,1007,Very Low,SE,High
073fe412-c833-4470-a301-705824d11ad8,19/12/2015,0,0,0,0,28.4,32.1,10.1,34.6,7.37,8.0,58.099999999999994,91.3,1002,HIGH,EAST,Medium
5f6c7a85-2477-45d2-b94a-5d361271c4fa,20/12/2015,0,0,0,0,28.5,33.1,7.9,26.6,8.27,25.0,58.099999999999994,100.0,1010,High Level,NE,High
082069f1-fec2-40a8-8268-743e7e92558b,21/12/2015,--,0,0,0,28.7,--,7.2,22,8.71,23.0,58.3,96.9,1007,High,southeast,High
0110ac6f-9616-4d03-9cbe-7f42f9f462e5,22/12/2015,4.8,3.8,4.8,4.8,--,32.6,6.1,30.2,7.38,26.0,59.4,100.0,1009,Very High,SE.,Medium
1e9626b7-e3a2-4fe8-824c-195f71b62f3a,23/12/2015,-,16.2,21.4,22.2,27.4,31.4,6.1,34.9,4.71,69.0,59.2,100.0,1006,Very High,NW,Low
b66919b5-9b12-4611-8b3e-bdc6066fc0f9,24/12/2015,40.2,24.6,31.6,39,26.4,29.6,5.8,33.5,3.21,100.0,58.8,100.0,1010,Very High,SE,Low
fa3269a5-304c-4d3c-90fa-7707759242d9,25/12/2015,-,0,0,--,27.9,31.7,11.5,38.2,6.97,23.0,59.2,100.0,1004,very high,NE,Medium
5ef462da-7c11-4ff6-b7f4-743ba31d26f5,26/12/2015,0,--,0,0,28.5,32,11.9,37.1,7.11,22.0,58.599999999999994,100.0,1000,High,SE,Medium
1fbdd69d-7264-4223-82d2-7979f439c6b2,27/12/2015,0,0,0,0,28.3,32.1,9.7,28.1,8.02,16.0,59.0,94.0,1006,High,SW,High
0f059fe5-5692-4b26-a0c7-a9079e316722,28/12/2015,0,--,0,0,28.4,32.5,10.1,36.4,7.23,35.0,59.5,100.0,1011,Very High,SW,Medium
4792a1e2-0e82-4cc0-9afc-60217442f448,29/12/2015,39,21,23,-,--,29.2,10.4,36.4,3.0,97.0,58.9,100.0,1007,Extreme,S,Low
10a928ab-75e3-4d24-8ff8-81e811cc1bd1,30/12/2015,--,1.2,1.2,1.2,27.8,31.6,11.9,--,6.42,15.0,58.5,100.0,1009,High,NE,Medium
2185ae47-3c1a-481e-9d55-87ca0d1a709f,31/12/2015,17,4.6,5.4,6.8,26,30.3,9.4,42.8,4.67,59.0,58.5,100.0,1005,High,S,Low
a4761b69-9da4-499f-9e58-1002f87ec0f3,01/01/2016,2,0.6,0.6,--,27.5,29.8,10.8,37.4,6.66,10.0,59.099999999999994,97.8,1012,Very High,NE,Medium
d603c3a2-de98-4650-b815-77e4db6ba679,02/01/2016,39.6,18.4,31,38.4,25.7,28,--,58.7,0.59,100.0,58.4,100.0,1011,High,S,Low
a128e913-fa7c-48ba-8a23-c4a219c0c865,03/01/2016,16.6,3.8,6,9,--,26.8,-,22.3,6.41,55.0,58.4,100.0,1007,High,W,Low
2e66e5ab-dead-4b01-8bb9-be1e5a90216e,04/01/2016,0,--,0,0,27.9,-,9.4,29.2,7.89,13.0,59.3,100.0,1011,High,E,High
f4f54f7c-7623-424e-84e3-e76dd642fc6d,05/01/2016,0,--,0,0,28.7,32.1,10.8,29.9,7.84,19.0,59.4,89.4,1013,High,E,Medium
0bb74d98-1eb2-465a-b84b-6fa3f100aea6,06/01/2016,--,0,0,0,28.5,31.5,11.5,29.5,7.82,11.0,59.4,100.0,1014,Very High,NE,Low
5b6f5416-334c-4a11-b7b0-d692c7b0cc95,07/01/2016,0,0,0,0,28.7,31.9,--,31.7,7.64,13.0,59.3,88.4,1011,High,S,Medium
531d1601-c941-4eae-9591-14220ab90aec,08/01/2016,0,0,0,0,28.5,32.4,11.5,35.6,7.3,20.0,59.099999999999994,100.0,1007,Very High,NW,Medium
999ccff1-1f35-4515-82ac-27f29f0b4830,09/01/2016,1.8,1.8,1.8,1.8,28.5,32.1,11.9,--,7.27,17.0,59.2,100.0,1005,Very High,south,Medium
c337e298-5891-4c38-a64e-013272518083,10/01/2016,0,0,0,-,28.8,32.3,10.4,30.6,7.79,14.0,59.3,100.0,1008,Very High,E,Medium
cabbef63-9d0a-4bac-b351-79c331e38140,11/01/2016,0,0,0,0,28.8,32.5,-,31,7.77,24.0,59.3,82.0,1009,High,SE,Medium
e3853c4b-1529-4ceb-adbb-cca90c08ed25,12/01/2016,0,0,0,0,29,32.3,12.6,32.8,7.57,13.0,59.3,100.0,1011,Extreme,SW,Medium
8c047847-5db1-45a1-b072-eaf70db5c39d,13/01/2016,--,0,0,0,29,32.6,11.9,33.5,7.53,17.0,59.4,93.5,1011,High,SE.,Medium
37781a91-5d8f-450c-8219-1405a4b91a74,14/01/2016,0.2,0.2,0.2,--,28.7,32.1,10.1,32.4,7.57,24.0,59.5,100.0,1007,Low,SW,Medium
85ad28c3-49b0-4e8b-82e8-d68520777bf2,15/01/2016,5.6,5.2,5.4,5.4,28,32.1,6.5,32.8,6.99,26.0,59.3,100.0,1011,Very High,N,Low
99c5fbc8-9131-42bf-90cb-07bde2739c26,16/01/2016,12.2,10.4,11.4,12.2,27.9,32.8,5.8,22.7,7.41,45.0,-59.6,100.0,1008,VERY HIGH,E,Low
996fdbf8-0996-4a36-b4c0-e700e958d5dc,17/01/2016,33.4,-,29.4,31.4,27.4,31.8,--,25.6,4.9,84.0,59.5,100.0,1010,Very High,W,Low
90e59581-b53d-4caa-a3ca-e8d52f5be4f5,18/01/2016,2.6,2.6,2.6,2.6,28.6,32.5,--,29.9,7.62,34.0,59.8,100.0,1002,Extreme,N,Medium
a59e006f-6140-4590-810d-0e80474e5582,19/01/2016,2,2,--,-,28.5,32,9,35.6,7.06,23.0,59.5,100.0,1008,Very High,SOUTHEAST,Medium
a26b3def-694a-4e10-b27a-5ea9801ae293,20/01/2016,0.8,0.4,0.6,0.8,28.3,--,--,-,8.03,14.0,59.099999999999994,100.0,1013,VH,E,Low
c6a7b171-8ed7-47ea-9974-eeed2bff8ee6,21/01/2016,--,-,0.4,0.4,--,31.8,8.6,29.9,7.75,26.0,58.8,96.5,1010,High,N,Medium
cd83abc5-7ba1-4d9a-872c-0769d72b02d6,22/01/2016,0,0,0,0,28.5,31.6,9.4,34.2,7.36,19.0,59.5,81.8,1006,Very High,SE,Low
10848458-4372-433b-a2dc-0deb2a789b9e,23/01/2016,0,0,0,0,28.7,32.5,10.8,32.4,7.63,14.0,59.4,86.2,1007,High Level,NE,Medium
4b8c424f-551a-40c5-be00-39d3268ff55f,24/01/2016,--,0,0,0,28.8,32.5,14.8,46.1,6.26,24.0,59.3,100.0,1011,Very High,NORTHWEST,Medium
eb533365-8c09-4b1d-8ee1-a319bd404e6e,25/01/2016,2.6,2.4,2.4,2.6,28.4,32.2,14.8,64.8,4.1,29.0,58.8,100.0,1013,Very Low,SW,Low
08c539c3-f137-4190-8470-8ec8a74835bc,26/01/2016,6,2.2,2.4,2.8,27.9,30.4,12.2,38.9,6.17,27.0,59.2,100.0,1012,Very High,NW,Low
fd1f64d3-475b-41ea-af8d-5bbc922eac56,27/01/2016,-,1,1,1,28.8,32.2,12.2,31.7,7.57,29.0,59.3,100.0,1008,Very High,SE,Medium
d24d563e-c9c7-40c1-a363-604bdbb6bd1a,28/01/2016,0,0,0,0,29,32.8,10.1,28.8,8.02,20.0,-59.5,99.2,1017,VERY HIGH,northwest,High
2b4ccb52-5ef1-4480-ad3b-689484330e06,29/01/2016,0,0,0,0,--,--,10.8,39.6,6.89,22.0,-59.5,100.0,1007,very high,NW,Medium
ae20cffe-c690-4dd3-9e11-873ddc8f1151,30/01/2016,0,0,0,0,28.8,32.5,10.8,33.8,7.49,16.0,59.2,100.0,1010,very high,SE,Medium
4ec38f77-d5a7-45f8-b319-2385b23ee808,31/01/2016,0,0,-,0,28.8,32.6,10.4,33.8,7.5,9.0,59.099999999999994,100.0,1014,Low,southeast,Medium
97c75d1c-8b1a-473e-ba0e-79c8f8a1a115,01/02/2016,0,0,0,-,28.9,32.7,11.2,37.4,7.15,17.0,58.9,100.0,1008,Low,NW,Medium
db4e590a-7453-4b84-8128-60abcedb41a2,02/02/2016,10.6,5.2,6.8,9.2,27.7,31.7,--,33.8,6.35,39.0,58.599999999999994,100.0,1013,Very High,N,Medium
97d9c075-646b-49d3-a3c0-c8d3883a80c9,03/02/2016,0,0,0,0,28.5,32.5,9.7,31,7.77,25.0,59.0,89.3,1010,Low,NW,Medium
b7d09da1-ad7a-4d44-8118-e59200109a73,04/02/2016,0.2,0.2,-,0.2,28.2,31.7,9,27.4,8.03,17.0,59.2,100.0,1015,High,Southward,High
1da88ecd-c982-4a75-93ed-10f8fbb86f0a,05/02/2016,0,0,0,0,28.3,31.6,9.4,26.6,8.12,15.0,59.599999999999994,99.3,1007,VERY HIGH,SW,High
93aae423-a7e1-4b07-a06f-1eb5bdc62ae0,06/02/2016,1.8,1.2,1.2,1.2,28.7,--,15.1,43.9,6.29,25.0,59.7,100.0,1011,very high,SW,Medium
acdcd105-746f-427c-a46c-e6ff24988076,07/02/2016,26.4,7.2,9.6,10,27,-,18.4,45.7,3.25,80.0,-58.6,100.0,1006,High,NE,Low
d57803a3-a9fe-4296-8df7-4df65b1d5c32,08/02/2016,0,0,0,0,27.7,29.7,14.8,41.8,6.41,18.0,57.9,100.0,1012,High,E,Medium
5950555b-f31e-4e51-8941-a1de7c4e446c,09/02/2016,0,0,0,0,26.8,28.6,7.2,22.7,8.21,17.0,57.7,93.6,1009,High,SW,High
25c95370-7b15-4a6b-9551-5febf5a169c3,10/02/2016,0,--,0,-,26.7,28.6,9,32.4,7.24,21.0,58.099999999999994,98.8,1006,High,SW,Medium
c3ce9a96-149b-44b1-a935-0cd7e9bc4be0,11/02/2016,0.4,0.2,0.4,0.4,27.4,30.2,10.4,25.9,8.01,13.0,59.2,100.0,1013,Low,east,High
83f6e0d0-d624-4279-9dc7-8e3bb484857d,12/02/2016,0.6,0.4,0.4,0.6,27.6,32.1,9.4,34.6,7.31,13.0,59.4,97.4,1006,Very High,NE,High
1d9c8687-31ca-45fc-9a7d-af2f53262add,13/02/2016,0,0,0,-,28.6,32.1,12.6,29.9,7.84,20.0,59.599999999999994,100.0,1004,Very High,W,High
4abb8ae9-91b1-4846-8867-827d24694c18,14/02/2016,1.2,1.2,1.2,1.2,28.6,32,10.4,30.6,7.64,22.0,59.5,91.1,1007,High,W,High
b669cdfb-f33f-4c1d-92e3-e1620796253e,15/02/2016,0,0,0,0,28.9,--,11.9,34.6,7.4,27.0,59.599999999999994,100.0,1011,Very High,SW,Medium
04bcd469-7df9-4300-9e5f-96b14ca4030d,16/02/2016,-,0,0,--,28.7,31.9,16.2,42.8,6.53,27.0,59.4,97.9,1012,Very High,Northward,Medium
b364b9a9-cee4-4d00-be00-e25bd123397a,17/02/2016,0,0,0,0,28.1,31.4,14.8,37.1,7.05,17.0,-57.5,81.5,1014,High,N,Medium
dc481854-a713-442c-a5b0-e64522e877b2,18/02/2016,0,0,0,0,27.8,31.5,10.1,34.9,7.28,23.0,58.8,95.5,1008,High,E,Medium
43b44edb-37bf-4209-8df5-cd202145c6cf,19/02/2016,70.4,17,--,23.2,25.1,28.2,6.8,42.8,0.0,100.0,58.2,100.0,1011,High,NW,Low
46cbff7d-0685-425b-b537-777f1665b607,20/02/2016,2.6,0.6,1.2,1.6,26.7,29.9,8.6,32.8,7.07,34.0,58.5,95.2,1007,High,NW,Medium
3a881a49-d36d-4824-ab8b-95c8ab454f2a,21/02/2016,0,-,--,0,-,31,12.2,41.4,6.58,19.0,-58.4,89.0,1008,High,NE,Low
1b9fe965-7047-4c1f-8680-7ff0261b8943,22/02/2016,0,0,--,0,28.2,31.9,11.9,33.1,7.5,20.0,58.099999999999994,86.0,1008,High,NW,Medium
4f6095eb-0c56-486c-9cce-f130facb0012,23/02/2016,0,0,0,0,28,31.8,9.7,33.8,7.42,32.0,58.599999999999994,100.0,1012,Very Low,SE,Medium
7677547d-f8b1-4d93-b759-65f0fc4ba2f9,24/02/2016,71.8,24.4,44.6,55.4,25.9,-,8.3,45.4,0.0,100.0,58.3,100.0,1011,High,SE,Medium
858f9288-0e3d-4fc1-8eb0-ec13dee37fc2,25/02/2016,0,0,0,0,27.7,31.1,14,45,6.23,25.0,-58.2,93.3,1012,High,SW,Medium
654b6812-f3c8-4fed-940f-2eae39dd97d1,26/02/2016,0,0,0,0,28.4,-,15.1,38.2,6.96,10.0,58.2,91.1,1006,High,E,Medium
1f050ade-190a-4067-a604-0a81efc85f86,27/02/2016,0,0,-,0,28.3,31.9,12.6,39.2,6.89,15.0,58.8,100.0,1011,Very High,NW,High
b88336f7-3d18-4ebb-b74e-7adc20ec04c5,28/02/2016,0,0,0,0,--,31.9,14.8,42.1,6.6,22.0,58.9,100.0,1011,Very High,NE,Medium
9c78e707-4b58-45f3-b74a-6fbc4ea051f4,29/02/2016,0,0,0,0,-,32,16.9,41.8,6.64,19.0,58.8,90.4,1011,High,SW,Medium
7809db2d-7053-41a4-a07d-c59fffd7a85f,01/03/2016,0,0,0,0,28.6,31.9,13.7,42.5,6.56,8.0,58.5,100.0,1012,High Level,E,Medium
641e57c0-a0e9-4fff-af2c-8c877c85506d,02/03/2016,0,0,0,0,28.2,31.2,14,44.6,6.28,23.0,58.599999999999994,100.0,1015,VERY LOW,SW,Medium
e32bfd5d-f770-4630-b1ab-dd9615179bd9,03/03/2016,0,0,-,0,28.5,32,13.3,40.3,6.79,20.0,58.7,100.0,1008,Very Low,SW,Medium
f51f8bf2-0448-4e1d-ad39-1fe19abbda95,04/03/2016,0.4,0.2,0.4,0.4,28.4,31.6,12.6,37.4,7.0,22.0,58.9,88.2,1005,High,N,Medium
45b8a157-f8ba-42d1-8bed-d408f63b9737,05/03/2016,-,0,-,--,28.6,-,11.5,35.3,7.31,18.0,59.2,100.0,1016,Very High,NW,Medium
47f1e527-253a-40d0-93b7-307777755a48,06/03/2016,0,0,0,0,29,--,13,31.7,7.72,12.0,59.5,75.8,1006,High Level,NE,Medium
7b41e8c4-d734-4436-ac83-8da46133be1d,07/03/2016,-,0,--,0,--,32.6,--,34.9,7.39,23.0,59.5,80.1,1010,Moderate,E,Medium
f0bf00ad-cedd-47ad-be56-9e197fb52d64,08/03/2016,0.6,0.6,0.6,0.6,28.4,32.4,8.3,23.8,8.42,18.0,59.4,95.1,1011,high,W,High
5ed8ec11-8eac-4629-8b58-713b2db05cce,09/03/2016,0,0,0,0,29.2,33.2,11.9,27,8.24,13.0,59.599999999999994,97.4,1011,Very High,S,Medium
708e2196-b519-42bb-827f-430e68c693dc,10/03/2016,1.6,1,1.2,1.4,29,33.4,9,26.6,8.14,24.0,59.7,80.8,1016,H,SE,High
7869d853-ea84-4d50-a54b-8c5d9027b489,11/03/2016,-,0,0,0,29.4,33.8,11.5,33.8,7.62,24.0,-59.6,100.0,1004,Very High,NW,Medium
c7b42f4a-d5e5-416e-9da6-062d65cbb2b0,12/03/2016,0,0,0,0,29,32.3,11.2,33.1,7.54,16.0,59.2,99.6,1010,very high,W,Medium
e0b269ce-2266-43ea-9e6a-c13d79b2458c,13/03/2016,2.4,2.4,2.4,--,29,33.6,10.4,--,7.43,34.0,59.5,100.0,1010,Very High,S,Medium
bfd74cac-6fa0-4c58-8c7d-161b75637ba3,14/03/2016,0,0,-,0,29.2,32.9,-,29.9,7.92,14.0,59.599999999999994,100.0,1012,Very High,NW,Medium
191b7b80-630b-4e73-af07-736f49454a60,15/03/2016,0,0,0,0,29.2,32.9,12.2,35.6,7.35,17.0,-59.1,100.0,1013,Very High,SW,Medium
28d4aceb-bcb2-46ff-ac70-e63a99f531cd,16/03/2016,0,-,0,0,28.6,33.4,10.1,-,8.04,18.0,58.3,88.4,1007,High,SW,Low
57267f14-de79-4e4d-9820-7ca7dff5a86b,17/03/2016,0,-,0,0,28.9,33.8,11.2,32.8,7.72,11.0,-58.8,100.0,1006,Very High,W,Medium
ba451921-d066-44eb-9250-7b3c155e5863,18/03/2016,0,0,0,0,28.8,33.3,-,26.3,8.32,27.0,58.5,94.4,1007,High,N,High
8d48ea03-f16a-437a-ae61-edfeb89cfe17,19/03/2016,0,-,0,0,28.9,33.2,12.2,31,7.84,27.0,58.7,85.8,1014,High,SW,High
4e6a15ad-f6cb-484c-922d-b36d1b7434cb,20/03/2016,--,0,-,0,29.3,33.4,-,29.9,7.97,27.0,59.3,94.2,1009,High,SW,Medium
8138b885-290d-479f-822b-7deef59709b0,21/03/2016,0.2,0.2,--,0.2,29.2,34.1,9.7,34.2,7.59,11.0,59.599999999999994,93.7,1009,High,W.,Medium
7c8fe2fd-69b3-4048-aba9-4af2da3d8ff9,22/03/2016,1,--,--,1,28.3,33.5,6.1,36,7.27,24.0,59.599999999999994,95.9,1009,H,SE,Medium
e9815465-88ca-4fc5-a669-9da161651a5c,23/03/2016,0,0,0,0,28.8,-,8.3,29.5,7.99,24.0,60.099999999999994,100.0,1008,Very High,SW,High
7193cfd9-fba7-4298-90ac-c55931557f31,24/03/2016,--,0,0,0,29.5,33.5,11.2,31,7.87,19.0,59.599999999999994,100.0,1009,Very High,SE,Medium
3aae9569-ae42-440d-9e30-3c5924341b0c,25/03/2016,0,0,0,0,29,33.7,8.6,30.2,7.97,19.0,58.9,94.0,1007,High,E,Medium
41e824dc-2a97-4f1b-95a1-2e72e25f5547,26/03/2016,0,0,0,0,29.5,33.4,14,36.7,7.29,19.0,-58.5,100.0,1011,High,SE,Medium
fbb08496-fe36-4c28-954d-02a3121d8685,27/03/2016,0,0,0,0,29.6,33.6,15.8,41.8,6.8,4.0,59.3,85.7,1014,High,NE,High
57c42b97-eea5-409b-9ba7-07e06d6e71c3,28/03/2016,0,--,0,0,29.6,34,16.6,38.9,7.13,19.0,59.0,100.0,1010,Very High,NW,Medium
258441d0-d5e3-4aff-b648-801bb4a921a7,29/03/2016,0,0,0,0,29.3,33.7,15.1,-,6.96,23.0,58.7,98.7,1011,Moderate,SE,Medium
51fd56e6-9fe2-4b6d-89dd-75250ca8277e,30/03/2016,0,0,0,0,29.4,33.5,13,33.5,7.62,21.0,58.8,99.3,1005,High Level,SE,Medium
0b269114-be82-4ade-b590-0304d2ff77a1,31/03/2016,0,0,0,--,29.6,33.8,-,32.8,7.72,21.0,58.8,100.0,1005,Very High,N,Medium
a5076f51-cfaa-4c89-bd1e-abf356918623,01/04/2016,0,0,0,--,29.6,34.2,13.7,--,7.73,18.0,59.0,84.5,1011,High,SE,High
2287a9c4-9c96-4228-a483-2d5131c66c17,02/04/2016,0,0,0,0,29.8,34.4,11.5,35.3,7.53,22.0,59.4,98.5,1009,Very High,W,High
