data_ref,date,pm25_north,pm25_south,pm25_east,pm25_west,pm25_central,psi_north,psi_south,psi_east,psi_west,psi_central
0ad4f112-02e1-4da4-800d-369b57ac0657,19/01/2017,11,10,15,10,-,53,48,53,48,43
77071bae-551e-41cb-96f2-33e6e5bea9d8,20/01/2017,11,10,15,6,11,49,49,53,-,44
139d4fb7-4e96-4147-b6bd-3c855363949f,21/01/2017,8,-,8,7,6,55,52,52,46,-
175c4c77-f03d-4576-a031-680959b6f4d8,22/01/2017,6,5,8,5,7,26,25,29,27,23
4a0f7c18-5ff4-44f8-a7b1-91c2fa72587c,23/01/2017,6,5,4,4,4,27,28,26,23,27
69e8541c-1f8e-46ef-bcb8-c7e83cc86261,24/01/2017,7,4,6,4,5,26,21,-,17,22
cb760d19-1f9c-4277-9dbb-1c3a4bd2178c,25/01/2017,6,5,6,4,6,31,17,27,18,21
f8f22b2f-1c48-4bac-9714-37becada06ee,26/01/2017,6,6,8,7,10,39,36,--,28,36
7c3e0ad0-5306-45f8-b5fe-0f01ef2cdef6,27/01/2017,13,10,13,--,11,44,42,46,37,41
3252b079-ac98-4506-9614-84fb050cab54,28/01/2017,10,10,10,9,9,--,46,49,--,45
516c678d-d0bf-4ebc-86d8-567c87fd2958,29/01/2017,8,9,8,7,7,33,33,34,30,31
288c4e0b-f636-45bd-a9f2-1d221bfaa91c,30/01/2017,6,6,7,6,6,31,32,34,34,-
38cb7a61-b55a-4894-8932-7f57d49bdc74,31/01/2017,8,9,9,7,9,28,34,--,29,34
5dd33efe-ab98-49b7-901c-9f4377b654ac,01/02/2017,10,13,14,11,11,40,41,45,35,41
7c5de7ee-9a5a-4757-b6c5-29191d22eb1f,02/02/2017,18,20,18,13,19,55,56,57,-,56
15a2423b-b893-44b8-86fa-f379febb18ea,03/02/2017,-,9,13,10,6,56,57,57,53,56
6e36130b-d8b4-4f63-8e52-7abea6e3f8bf,04/02/2017,8,8,8,7,7,33,--,39,35,34
00b17e97-c76f-49ab-9e86-43272c7b2cfc,05/02/2017,-,--,-,8,6,42,41,41,36,39
5f44ad60-940b-42a2-8a5a-7875f34499e9,06/02/2017,9,8,9,7,6,35,37,43,32,30
393f309e-49c3-4023-9b37-5286d8f0218d,07/02/2017,11,8,11,9,8,41,--,44,34,33
e407b4fe-0bb5-40d2-aa98-0f7fd3d213a1,08/02/2017,15,13,18,12,14,50,52,52,--,47
964a5cbf-443b-44f2-8c68-9cfb7e20aef5,09/02/2017,18,18,20,18,-,62,58,-,55,58
271d1e73-b565-461f-b0b8-988739cc3cc0,10/02/2017,16,12,-,12,15,56,54,57,55,54
417af8a8-211c-4f97-a6ac-85ecca848528,11/02/2017,-,16,12,9,--,53,55,54,45,53
a9676805-8d2a-4ea9-9f17-5a27734d9413,12/02/2017,15,19,--,11,16,49,58,53,49,54
f985ebfa-1a87-40a7-ad0f-b37fa8eab292,13/02/2017,13,16,15,10,13,52,-,54,43,52
14f0a43c-eb86-4ece-b348-542041bb91eb,14/02/2017,12,15,12,12,14,52,57,53,51,54
f6671f0c-900d-49b3-8ebf-366ff0095b3d,15/02/2017,7,6,-,5,7,33,44,41,29,34
5a24612c-82e2-4c46-8a9d-385a448d70d4,16/02/2017,10,14,--,9,13,-,52,-,38,43
8fc9bc71-92fe-494e-96f4-8b2206e25076,17/02/2017,12,18,10,11,12,52,56,53,48,--
6cdd471d-bf22-42d0-b310-7beb3625e9f6,18/02/2017,13,12,11,9,--,55,52,46,39,50
a3802c7a-191c-4387-a01b-08a20685ccb6,19/02/2017,16,15,13,-,12,54,54,49,43,-
db1a9831-4e5a-4853-b3a0-7ce802a84c37,20/02/2017,16,12,-,9,11,54,53,52,40,-
9bdd032f-3998-408e-a3ee-fa5a4f90f111,21/02/2017,11,8,8,7,10,-,44,35,36,39
334fcf0e-107c-4857-9d76-bcc282e3af85,22/02/2017,13,--,10,11,11,53,51,45,40,50
2a232260-d58e-4be5-9936-81c3a73313a4,23/02/2017,10,12,11,16,10,51,52,45,50,41
50c39109-39b6-465a-bc79-bd377e51e254,24/02/2017,17,17,13,11,11,58,59,-,57,55
31a474a9-5463-4b2e-b1b1-7182e4cf3d12,25/02/2017,10,10,-,-,9,46,46,43,--,40
fc9172ae-7d48-405e-9dcb-8ea91e553e69,26/02/2017,16,13,11,-,8,54,54,52,44,47
390b58b3-8e74-456b-938d-f78fe2c6fdbc,27/02/2017,8,10,8,7,-,44,45,40,35,-
6c1b1072-ae1f-432d-90b6-91751c639826,28/02/2017,9,12,9,9,11,44,44,34,46,41
7815d653-3500-4063-a575-b7d6afb80ff5,01/03/2017,6,-,5,--,-,--,43,39,36,37
00fd905e-de8f-42dd-a625-4ce5235cbb44,02/03/2017,7,10,7,7,8,29,27,24,--,24
b0f0323a-05a4-4788-abf6-12243f3d548f,03/03/2017,11,--,--,--,11,49,--,44,42,52
9531bc9c-e989-413b-a4fc-c3b1628de991,04/03/2017,16,15,14,--,11,--,52,46,33,39
fd03c6d3-8f94-4e2b-9263-c430fcba34a3,05/03/2017,18,20,-,13,16,58,61,58,54,56
b2ab1feb-59fd-4eec-88b9-b2639562b709,06/03/2017,18,17,--,15,15,57,60,57,54,57
a57dc858-5f53-43fd-843c-0e1bab03d7e1,07/03/2017,14,--,17,--,15,--,58,55,53,54
e8c7819a-75d8-4189-b69b-d40d8490d6b6,08/03/2017,15,19,15,11,16,53,61,55,52,56
93f6c6a1-1a68-45d6-bcd3-3e211dedccee,09/03/2017,20,23,17,15,21,56,63,57,-,59
7524053d-6fa1-4efe-8f2b-e8696d5ab0cd,10/03/2017,15,16,13,13,-,58,62,54,55,57
496436f7-5af8-4815-84ba-1be40e70c27f,11/03/2017,16,--,13,14,--,54,58,-,54,56
0da4fa49-1544-4945-a9c5-bb30b8caadaa,12/03/2017,14,15,14,10,11,56,58,-,54,54
73c4c17c-d54b-4627-8d4c-ca862e664b13,13/03/2017,20,34,24,20,26,55,67,-,53,60
b2463044-0faf-49c0-9f2b-a4c1f61dfddd,14/03/2017,30,29,22,18,24,71,76,66,64,67
637bdb02-171c-47cd-af5e-628ae7ce2a67,15/03/2017,25,31,27,15,22,65,65,-,53,60
4f5c5a18-7eb5-4449-8f72-86d8caacad2d,16/03/2017,--,13,12,-,15,71,67,58,59,61
7d1d305c-e3fe-443b-8e04-1847f8a4776c,17/03/2017,18,25,22,14,19,57,64,59,55,58
1581390e-d230-4f7d-be2c-5fb1a8baf596,19/03/2017,21,26,16,22,23,60,68,57,61,58
0ee41818-9783-4e6c-8098-9dcbd467e576,20/03/2017,18,10,12,7,9,57,65,58,64,58
ee2f8f20-86be-41bf-949c-e06474fc7e77,21/03/2017,16,17,20,10,13,59,53,-,39,52
5647434a-8b9f-4a71-9d9c-8e4ce20dc5e0,22/03/2017,8,8,10,7,9,43,51,--,35,45
8a9a77f0-b744-4627-a3d7-91e613071487,23/03/2017,15,21,12,14,-,-,56,52,48,55
b5381f02-5402-4ad9-924d-58bbcaeb73bf,24/03/2017,21,24,21,15,17,57,60,54,55,56
c0c9c8b3-785a-4473-9e87-595e113d315e,25/03/2017,16,22,17,16,18,66,74,63,59,67
44b68a4a-1151-4bc7-b902-996907e9bb02,26/03/2017,17,19,15,19,--,58,--,56,57,56
4803e831-7b0d-4e2a-b3b0-7ac224ca241a,27/03/2017,-,9,7,9,--,51,54,45,51,44
77b611ac-3ac1-4589-bbc2-df2ca2a8bd72,28/03/2017,14,--,10,8,10,47,52,35,32,41
11b7ba72-2b79-4c54-8966-934caa8bf87f,29/03/2017,17,16,15,-,11,56,55,53,-,-
ba3e7566-9183-4961-b7ab-88b558bf7d36,30/03/2017,13,14,17,10,14,55,58,57,45,-
9b8b0d22-361d-447e-a9d8-559c520fac3f,31/03/2017,21,15,17,10,19,58,56,56,40,53
94e7486f-a9c6-4485-87fb-a9be8a213ac9,01/04/2017,13,15,13,12,12,55,--,58,59,58
c3719e2f-0f52-4a92-bde3-5d98ebbf087e,02/04/2017,12,12,15,9,12,51,55,52,43,48
3f529658-5a62-4d79-9fc5-196e6ff0e963,03/04/2017,13,10,9,6,9,52,51,53,34,43
0954bb5d-d36c-44a1-a473-e54c89de8f59,04/04/2017,16,14,8,6,8,-,-,-,30,39
77fc4d28-8bf0-408b-a107-5920dcfac80b,05/04/2017,8,9,7,7,5,51,52,46,34,38
7c622b7c-d4c1-45a4-8a92-ab7fe176b2da,06/04/2017,16,13,12,9,10,--,44,45,40,-
6f7dd0fc-add0-44a3-989a-1ef664358d84,07/04/2017,9,8,12,--,7,44,44,51,40,--
67355fdb-787e-4715-a11b-7d7232f20c26,08/04/2017,14,18,17,9,20,46,55,53,42,53
c7028825-ba1f-4e4f-8354-82f0f79d74d5,09/04/2017,19,-,22,17,19,60,68,63,57,61
92d0f5da-01be-47c7-9c85-bb041f04fe56,10/04/2017,23,24,16,--,22,59,63,60,57,59
3c3cc94b-a320-4da2-8e5d-d677d0e4237f,11/04/2017,22,22,14,18,-,67,61,--,57,60
e5ded63f-ebe7-4a5b-a6e2-2b88f71c8cce,12/04/2017,18,19,12,19,-,60,64,55,--,-
89116f78-9d0f-4ee7-b061-30bcbf17f6d1,13/04/2017,13,13,-,9,10,-,55,45,55,40
03086d88-b17c-4d72-a5f6-4ad180618ded,14/04/2017,13,15,13,14,9,55,57,53,54,40
726e8162-befd-4681-ae43-a881a770dc22,15/04/2017,8,16,10,8,8,43,54,42,42,35
99cce82c-95ac-47fc-b107-826f4414cc37,16/04/2017,15,16,17,9,-,54,58,54,-,55
9b52be31-1a8e-4eb6-ae62-07e2b8aef4fd,17/04/2017,13,15,11,15,11,56,58,53,56,48
9ed44fcd-53b9-4cfd-8759-b0735f0c3585,18/04/2017,13,17,12,9,-,57,--,53,53,--
656c8576-5803-4c75-913f-c2431047ea7d,19/04/2017,24,22,24,15,25,-,56,55,50,53
ea605a48-9cc0-45af-a322-73dde9d5e9ce,20/04/2017,32,46,39,19,32,73,-,74,62,72
0be4f3f9-9985-403b-8bb5-7846844f0492,21/04/2017,17,29,20,10,14,80,89,83,60,76
1e4d44dc-4631-4d65-9d9d-d97b918acc2b,22/04/2017,13,13,13,7,10,52,58,54,34,47
493284cc-a3a3-424f-aa93-ea9b24ebcc45,23/04/2017,--,27,20,18,18,64,61,55,56,54
ed581adb-66ff-4a59-aa7e-e887f45a724b,24/04/2017,--,13,15,23,14,65,61,60,60,58
cad3bc0e-56ad-4dd3-9a62-02467705319e,25/04/2017,24,39,26,20,29,64,71,62,59,63
b93231ef-64ed-4cbc-a831-1fe50e3f6dc0,26/04/2017,25,-,29,12,23,72,75,70,62,69
4c7e3fdf-7f2c-4fc6-8c0a-2184e8af274e,27/04/2017,12,20,17,7,10,54,62,58,35,52
6453777d-ab34-419b-baa3-9718a182a20e,28/04/2017,13,15,15,6,12,53,63,-,36,54
598352e4-b108-4b65-addd-5ca08c5814ed,29/04/2017,34,24,20,13,20,65,60,-,48,57
71ca197f-cc47-4b47-abf9-2d7da2b5c70e,30/04/2017,21,19,14,-,17,77,68,64,68,--
e9220466-87eb-47c3-a30d-0a71f50b5f65,01/05/2017,13,-,9,11,9,54,55,47,47,44
a94be18d-52c1-4513-8ddf-069a1717c34d,02/05/2017,24,19,15,19,17,--,57,53,57,56
38d51baf-1012-49ed-828d-ee741c6bfb70,03/05/2017,25,22,15,17,18,63,58,54,56,55
31b26fd8-b493-4189-8219-f99a0cd0898b,04/05/2017,17,13,12,-,14,61,58,53,59,56
48eef08f-628e-41a4-be1c-d222f206a804,05/05/2017,24,24,19,12,-,80,-,58,59,66
c174d8ed-a5fc-4a6d-aebe-d1bda7341e84,06/05/2017,25,14,17,11,17,65,60,57,43,55
57766401-892d-4733-9886-52b59b796cea,07/05/2017,25,23,23,11,22,65,62,61,55,62
c1efc637-c08a-4c3a-b2b5-5a7f9bf5af65,08/05/2017,16,--,19,9,16,55,62,59,--,56
083b6851-5091-424a-a688-b2c4452ccd62,09/05/2017,9,10,9,7,8,54,57,54,36,53
b8e66745-0833-442f-9598-f358d8319151,10/05/2017,11,10,8,6,7,49,51,35,34,34
55617478-2652-4f6e-a81c-a857e9b99282,11/05/2017,14,11,7,6,10,-,51,40,34,44
0437e6e6-92ba-4317-a277-2e04db33f1be,12/05/2017,19,--,11,10,12,57,--,-,33,51
1e64b435-221f-474b-a62c-2c44586e3213,13/05/2017,11,19,8,9,11,54,57,39,43,--
1cd3f03d-510d-46d9-9001-b3dac22ef7b1,14/05/2017,9,9,6,9,6,53,55,33,40,41
bf32132f-dab3-4141-a6f8-ae935389c558,15/05/2017,12,17,13,9,10,40,52,-,43,32
be13fa8f-99f0-4267-b0bb-13bf91fdd07c,16/05/2017,11,11,8,-,8,52,54,47,42,48
64435e67-064b-492d-a9b9-ca56e66d06d0,17/05/2017,12,12,9,12,10,48,52,43,44,39
b6b1ce58-7549-4de0-8cf6-bfbad75a513b,20/05/2017,-,16,10,14,10,52,54,45,49,39
f76244ba-fe31-4818-8e2d-0bf7d3ffbb1f,21/05/2017,12,14,10,11,10,51,55,49,52,--
6653996e-2a74-414b-9c24-e0be2a714fbe,22/05/2017,10,9,8,8,7,48,53,41,40,-
7bc03bfc-d3a0-48c3-8ff9-7ae1ba28ca05,23/05/2017,9,11,6,9,7,37,42,34,35,29
22abb25a-7b5c-4e22-a626-90436177f3a5,24/05/2017,13,13,11,9,9,51,54,48,39,41
a3467630-4dba-41a3-a6d7-da89c223a920,25/05/2017,15,12,12,16,11,-,51,50,51,48
69faf4ea-4292-4cb6-bf23-c97a2872abc9,26/05/2017,16,15,12,13,11,--,54,50,54,45
dba60070-dc94-4c7a-aa0e-0f761c7d48ae,27/05/2017,26,19,16,18,19,63,59,55,55,57
029ab6df-eb39-4a6f-87cd-4f8141fa04db,28/05/2017,10,11,8,10,6,55,56,44,57,--
00835ce1-c134-443f-b8b7-342a5be6beb5,29/05/2017,7,8,6,8,5,33,38,30,41,24
aee41a7a-a178-4e8c-9a62-a3da84323904,30/05/2017,15,15,9,11,11,--,51,32,48,35
e0da556d-73c8-4548-868e-f4051ba15d0f,31/05/2017,16,19,15,9,15,58,-,53,42,54
696fbc3b-c9e8-4cff-9a6c-e374937449d7,01/06/2017,14,12,-,7,9,53,56,47,34,47
9d4875a7-3cac-41da-978a-b7b381970a73,02/06/2017,8,6,6,7,6,42,51,38,35,36
60d838a3-398f-4f38-b69c-b9a208c1f00e,03/06/2017,8,7,--,7,6,--,38,29,33,27
584de701-2d77-4a61-a4ef-5a8f3231797d,04/06/2017,9,11,10,12,-,44,--,37,38,31
a46d4b53-2f3e-4110-8af0-d6aacbdbcd1f,05/06/2017,12,15,10,13,9,44,53,42,48,35
2aaba30d-2ac7-4948-9af3-f1e9a9345464,06/06/2017,16,18,15,14,13,55,56,53,53,51
18dd5f94-d96f-4018-94c9-0f1560636082,07/06/2017,17,-,14,15,14,57,61,54,54,54
5456b7e7-43f2-4e48-bfa0-5fc8d220e723,08/06/2017,13,16,10,14,--,55,-,53,52,52
c54e8e47-05d0-49d6-9a3b-959a28f04301,09/06/2017,11,14,10,12,9,53,54,50,53,43
682f833d-387f-4de6-815e-f4dd59691c5e,10/06/2017,13,16,11,11,10,51,53,47,51,-
b447a70f-3a54-4239-9532-9d69239213c6,11/06/2017,12,10,9,7,6,52,57,50,41,44
826643b6-7b0f-435c-8073-eab9494bde92,12/06/2017,9,6,8,6,6,39,36,36,-,28
ef65c237-04bd-4878-9132-7ab428422557,13/06/2017,11,7,8,-,7,41,--,35,39,29
4b4447ef-e236-4d08-9667-0fe6c1808c52,14/06/2017,14,9,10,7,8,-,43,44,44,43
e2ecc911-0408-4cdd-99a0-23c15ed72f84,15/06/2017,13,11,10,16,9,53,51,45,-,41
259f121e-6f3a-4bb9-aed6-4e912f176922,16/06/2017,16,14,16,28,16,54,55,55,-,53
c2e77169-8101-4e7b-8616-76f7d93f9034,17/06/2017,13,14,-,18,8,--,54,52,68,53
95c82e2a-47b3-4c08-8550-b52de79da3a7,18/06/2017,8,8,8,6,7,52,48,38,44,31
9c1f7fe5-dcd3-44c4-9a3c-5ae47f26d4d8,19/06/2017,9,8,8,7,6,37,38,-,36,34
3aa859bd-823b-445b-8e71-bb1845b850bd,20/06/2017,15,11,9,10,10,52,42,38,40,35
51589cbc-60f0-4413-9bda-c3e1c343a4da,21/06/2017,18,-,11,15,--,58,52,42,52,47
bc28ad76-a918-48ef-aad8-7a2a3f35e748,22/06/2017,21,18,17,19,16,62,59,56,61,58
2070f362-46fe-413e-86b9-ec93c42e0724,23/06/2017,17,9,11,8,9,60,52,52,55,52
309c832b-12cd-4819-8084-8ee6a3c444db,24/06/2017,13,11,12,8,11,52,43,45,35,40
7859b344-3063-478d-a987-45eb21137afb,25/06/2017,-,11,11,8,11,58,51,48,53,46
e71721df-72ab-48ba-b3a7-60ed021482c6,26/06/2017,23,20,21,11,18,58,52,52,44,53
28256663-eb6d-4757-aa4e-5320d715d045,27/06/2017,12,10,11,10,-,64,60,58,51,59
991e24d4-4e42-4815-9786-40ab7715b5e7,28/06/2017,16,15,--,17,-,58,54,55,56,57
5f220842-0e20-475d-85e2-b6737e6a774b,29/06/2017,16,10,--,14,9,58,-,51,58,56
3dca5852-daa0-4f87-9e92-54c8a66d5546,30/06/2017,13,7,9,9,-,52,31,45,43,30
a2a4101e-0cf2-42c5-bb01-878aef9dd16e,01/07/2017,7,5,6,6,-,38,29,27,37,23
b39aff92-ab97-4bd3-b4e1-5c15cd95920b,02/07/2017,14,-,10,10,7,53,31,38,49,--
ad8479d2-0bd1-49d2-9e0f-e278d571b5e9,03/07/2017,11,10,9,-,8,52,45,47,40,41
bbe3baeb-3b4a-4fb7-aa4c-9e81b2e79b30,04/07/2017,11,--,9,7,7,43,39,37,29,39
0bada6b4-e245-4f1e-b076-c5f8ee038214,05/07/2017,11,8,8,7,6,52,39,36,36,29
31f159d8-7daf-4efc-bc7c-21ade5687f28,06/07/2017,16,8,8,10,9,51,35,34,34,33
db4bcdf3-c921-47b4-8295-0805cc507a05,07/07/2017,12,11,10,11,9,53,43,38,43,38
c521c202-c823-452c-941b-965d0f5d1a03,08/07/2017,16,18,14,-,15,54,53,52,46,51
666ef9ea-5bfd-4882-95e0-ae1cac1b9553,09/07/2017,-,-,8,9,8,53,54,51,51,49
b6cfce7d-0286-475b-b7eb-d5d8dc700c61,10/07/2017,10,6,6,7,8,44,33,31,37,31
be7487c6-f327-4ae3-9f29-39dcba642682,11/07/2017,10,11,11,6,11,51,--,31,29,37
739860ef-f7dc-4d5e-800f-512e6c4d35e2,12/07/2017,8,7,6,6,6,37,47,36,27,35
a87963bb-c9d6-445e-a555-0dfb951ab1fd,13/07/2017,14,13,14,--,11,56,52,50,49,46
ce52c806-bfae-4ad6-a191-347104cfda56,14/07/2017,18,18,14,17,15,55,54,52,53,-
77ac60c5-99d7-4383-b682-7c690327ebdc,15/07/2017,21,19,18,17,-,61,58,54,57,57
2d829059-c2a2-4054-a69d-b150f4295073,16/07/2017,9,8,8,9,8,59,59,58,56,57
2dfe09ef-7ce9-47fa-8793-5cc767536fd5,17/07/2017,17,16,16,17,14,43,-,41,45,35
23d1df63-0ed5-426d-8898-6b46e686f70e,18/07/2017,16,14,18,18,13,56,56,--,58,54
806fd79b-899c-4588-9907-4d82a1720934,19/07/2017,15,10,10,--,10,55,--,52,--,48
5b7df194-69a2-4f28-8bfa-e05fb169fa48,20/07/2017,11,-,10,10,8,52,41,42,44,--
7527155c-c561-4264-9dd6-5516ebf8097d,21/07/2017,-,-,10,11,10,-,43,48,49,42
cd018303-5d2d-4c2d-ad11-6175aff98ac1,22/07/2017,12,11,13,8,10,47,45,47,52,43
dff335ce-f7c8-48fe-85e8-568c611c7ec0,23/07/2017,11,12,12,--,12,50,53,52,53,50
77335e50-8d4f-4738-b93d-10ab7fe1f8ba,24/07/2017,13,10,13,13,10,51,51,51,53,43
5c753752-8d0f-44c6-a96b-b125f9ebd4ca,25/07/2017,16,18,17,18,15,55,57,56,54,54
fff6c0ae-f566-4490-b104-6919e28f5a1f,26/07/2017,22,21,22,19,-,61,61,60,-,59
644206ea-b406-42bd-ab0f-1291c9e84242,27/07/2017,21,22,20,-,19,60,60,59,60,58
f0a9be95-2fd5-4bfb-8ad9-620c2650c059,28/07/2017,17,-,19,18,15,58,59,58,58,57
a7490610-c5ea-4648-93f6-47ead8f2256c,29/07/2017,11,13,12,16,11,61,63,62,64,59
8f86c78c-6a44-4699-af83-121ef433fe66,30/07/2017,9,9,9,6,--,43,44,43,40,37
a822e199-32cd-41b2-94b7-e5bd372191bb,31/07/2017,10,11,--,9,8,36,40,40,30,32
5093154d-34da-4483-b502-094bb18108d4,01/08/2017,16,14,15,10,13,51,53,51,34,48
a58e2398-1c7f-40a7-85d9-83a731fc81ad,02/08/2017,20,21,18,10,19,57,58,56,41,55
44642622-55f5-43bc-b19f-65a4670b4a5d,03/08/2017,--,18,17,12,14,-,60,58,46,57
13579bd5-d5dc-4834-9176-c4a654542a33,04/08/2017,14,--,14,17,14,54,55,--,--,52
965aa4da-b86d-410b-983d-e9d27596da04,05/08/2017,-,--,15,16,--,53,53,53,56,53
a436f37b-13bf-4c6a-9edc-6cfc39bf029e,06/08/2017,11,12,10,11,10,53,54,52,55,51
b5c333a3-3d91-4e45-a331-c2a31fb39163,07/08/2017,11,11,10,10,9,46,48,45,46,43
0d13e5ac-2933-4eac-8054-233292af98c0,08/08/2017,12,10,9,9,8,45,42,43,44,38
f9d6956d-0241-4efa-830c-820d7c4c7db3,09/08/2017,7,5,7,7,5,51,42,41,29,41
f2c7ced7-736b-4a4f-b9c0-144437a561cf,10/08/2017,15,15,10,13,10,58,52,56,55,52
7fab3569-0ecd-453b-a75d-686a2a632ad4,11/08/2017,12,10,9,8,9,42,44,39,38,32
5a358e51-bff9-4d5f-850e-3621ff92d5c1,12/08/2017,12,11,10,7,10,54,54,52,36,46
c9086f74-c31d-4dbf-a728-9021abb3c2dd,13/08/2017,-,7,12,5,9,51,40,48,25,42
8294440b-25ac-4e9f-a9f2-e89d1f283ebb,14/08/2017,14,8,11,11,9,52,35,43,38,40
0382e5bc-f753-4ae1-b033-547af0b4ead0,15/08/2017,9,7,8,7,6,42,35,41,--,--
48e2b6c7-77be-4918-8076-971da2651d18,16/08/2017,19,13,12,12,12,53,39,49,32,36
aff94e7e-b433-43a8-a91d-4f98d962eaff,17/08/2017,18,17,17,13,12,57,56,56,54,55
96379ba1-0929-41c0-a8d8-b701e0851298,18/08/2017,17,11,15,17,-,--,53,53,55,52
7035b453-47b1-42a3-adaa-549575775b75,19/08/2017,12,10,11,12,10,53,52,52,54,52
1754c4b1-83e8-4b33-8079-a371a17694a5,20/08/2017,8,7,-,9,7,46,-,43,43,34
43d3b48c-c08b-4f13-88d5-8652d79bc4c7,21/08/2017,8,8,9,11,7,34,31,36,-,30
cf030c5b-442a-46b1-a2ac-a15080ee1008,22/08/2017,9,7,9,7,6,-,42,42,44,42
818ecb6a-4531-4a98-8762-e9b8ac120db1,23/08/2017,18,17,15,14,14,53,51,51,52,42
cae574d3-b42b-4fcc-8532-7c82009f7b2d,24/08/2017,13,13,12,10,12,55,55,54,52,53
5d7f1e3c-2d34-4492-8295-e2622c660fdd,25/08/2017,12,9,9,9,6,53,52,51,48,45
b0aa66a4-d1bd-4190-b4be-11f91c209341,26/08/2017,8,-,7,5,5,44,35,32,33,27
3724b40b-334c-4381-af09-f3de76530777,27/08/2017,8,10,--,6,8,34,37,31,31,27
7eb62f13-e702-49bf-ad38-5220a197a519,28/08/2017,13,12,12,11,11,44,51,--,41,42
5d6c99b1-d4a5-481d-80fe-4a6c4b3b9d92,30/08/2017,14,8,9,15,9,56,43,42,54,43
8270ff75-ac7e-4634-a494-121f49e76dc5,31/08/2017,10,7,8,13,--,56,37,45,57,50
0908940e-10a8-4acb-890f-73587bbaa77b,01/09/2017,12,11,12,12,11,40,34,37,43,32
bd1b0ca5-83e5-425b-a9bc-8f1ab7fb12c2,02/09/2017,23,--,20,23,18,60,57,58,--,55
669c6195-a860-48a3-9596-c4c0b546ff9c,03/09/2017,13,14,12,14,13,59,59,57,--,-
9a15e280-301c-4f88-86df-9ed94ad25007,04/09/2017,16,12,12,13,10,54,51,-,52,47
b480c6dc-5966-4728-bd30-99ad48bcdb55,05/09/2017,12,--,-,14,10,53,52,53,54,49
377e70ff-6ae8-4099-b8bf-8ed03fdac0bf,06/09/2017,11,10,11,-,9,55,51,51,55,50
dff1041d-6f00-4ac6-b461-f97f884e9f52,07/09/2017,16,9,10,13,9,52,45,-,53,38
3e8d1b8e-df17-49fe-907c-42409ebe8924,08/09/2017,--,5,--,9,5,53,33,33,53,27
6bb872b4-a32d-40df-a61f-1bd28dbe22a6,09/09/2017,9,6,--,9,-,34,--,28,39,21
eff93281-a8a2-4e94-8fd4-3e0ca975614a,10/09/2017,20,15,16,19,16,58,55,56,60,53
4badca1c-fe90-420d-85c5-ef5cbef2e1d5,11/09/2017,15,20,25,15,24,55,56,59,55,58
21d1d12e-b05a-4a80-b882-c93fd1138ad7,12/09/2017,25,26,25,-,21,63,61,63,62,61
0376e492-af31-4556-81e5-41d8e9215a70,13/09/2017,26,19,23,29,21,76,64,65,77,63
1ed7b45e-5abb-4d9e-8379-02912958e610,14/09/2017,17,17,16,--,15,--,59,60,61,-
b87acf81-84ac-4e6a-afd9-a71c41ef7787,15/09/2017,28,20,20,--,19,66,59,58,58,57
a57e3893-b7e0-4139-aa89-018e68a65f8c,16/09/2017,12,13,14,--,--,-,--,57,-,56
e105208b-1d46-4146-830c-66453b870fef,17/09/2017,7,6,7,11,6,--,34,46,-,37
f0df722a-090c-48aa-8135-4ca24746abb5,18/09/2017,10,7,6,-,7,37,23,29,46,23
962725a4-c62f-4630-bdbe-1a8d0bb32470,19/09/2017,17,11,13,10,12,52,42,40,45,37
f80e5a1b-13b3-41c5-9e6d-96dabe43b32d,20/09/2017,10,11,13,8,12,57,52,58,40,55
05c0be71-1635-49bd-8698-9fa477ef6064,21/09/2017,8,7,5,6,--,42,39,42,33,36
bafa3f7a-0af8-49ec-8be0-59f3592cc936,22/09/2017,20,10,10,--,-,58,36,--,47,35
54181ce0-d0b0-41c9-8b04-9d2963766bf3,23/09/2017,22,-,18,20,--,60,58,56,57,57
0a87e47c-58f0-4f05-b6d1-2829c70a632a,24/09/2017,20,16,17,14,15,59,56,57,54,54
5c289c32-b5c8-4767-be12-fff34e613198,25/09/2017,13,11,12,13,13,56,-,54,54,54
9eed5dae-be5c-4a2f-8747-a0323a3fab9a,26/09/2017,22,--,9,25,8,59,42,46,64,51
bfc9ce86-4324-46b5-a4ce-c230ef19641d,27/09/2017,26,26,20,20,19,69,--,-,63,64
59d6b9f0-2f01-45eb-91aa-77ae5bcdb411,28/09/2017,26,17,14,25,18,65,-,55,59,56
7af14f8c-1c55-4198-be54-1531d97c7b8b,29/09/2017,10,11,17,6,12,65,57,58,--,57
abfee27c-0a29-4453-8fcb-650f26ab5208,30/09/2017,13,11,15,7,9,52,48,54,31,-
ad53a1f8-8480-432d-a1b1-a7ca56b3c82c,01/10/2017,13,17,9,11,14,-,--,52,36,44
5b36b86f-25c9-46b5-9121-0d6b38a0618d,02/10/2017,17,15,15,11,12,57,56,48,53,54
ee884705-01c5-46e6-a5a7-4853d348483f,03/10/2017,28,26,20,15,20,-,60,63,49,60
d53fbe0a-3b5e-42d2-ad68-2fa668ea0392,04/10/2017,11,7,9,9,8,61,58,53,48,53
a03190f6-1077-4996-bf52-b291b37b0d89,05/10/2017,15,13,12,13,--,56,48,50,42,44
816babb9-69bb-4073-b27b-9f07d1dce8a5,06/10/2017,20,--,11,23,14,-,48,45,63,--
